0	0	24
350	0	73
600	0	157
650	0	17
1375	0	12
1700	0	87
2625	0	106
3475	0	7
3750	0	27
5600	0	147
5625	0	7
6075	0	12
6325	0	83
7325	0	185
7575	0	72
7775	0	2
8150	0	112
8350	0	127
8625	0	13
8725	0	10
50	25	42
100	25	37
1350	25	9
4225	25	92
5175	25	18
5375	25	80
6175	25	33
6275	25	63
6400	25	40
6675	25	18
8100	25	55
8925	25	18
9825	25	132
9950	25	20
1550	50	111
2025	50	152
2400	50	57
3050	50	118
4700	50	61
4900	50	121
5125	50	13
5850	50	73
5875	50	19
7000	50	49
7875	50	82
8650	50	125
9975	50	1
3275	75	59
4225	75	139
5200	75	80
6075	75	110
7050	75	94
7350	75	172
8125	75	173
9125	75	117
1150	100	13
2825	100	72
5150	100	133
5200	100	83
9325	100	20
9375	100	81
9950	100	9
850	125	44
875	125	22
4425	125	107
5975	125	23
9100	125	98
575	150	1
2000	150	168
2175	150	44
3025	150	146
3475	150	196
3700	150	149
3950	150	80
4000	150	50
4650	150	16
7000	150	85
9125	150	63
9550	150	28
525	200	122
1350	200	11
5600	200	3
7675	200	27
125	225	125
275	225	139
6550	225	64
8875	225	36
1625	250	5
8900	250	28
8925	250	79
1875	275	74
5525	275	64
5775	275	38
7325	275	25
7875	275	15
8175	275	38
8475	275	29
9975	275	48
325	300	50
1075	300	49
2375	300	28
2575	300	89
4225	300	142
5100	300	26
8500	300	1
8675	300	95
8700	300	190
9950	300	14
9975	300	9
3075	325	18
4425	325	67
6125	325	104
725	350	106
1400	350	131
3350	350	90
4875	350	6
5825	350	101
6600	350	28
725	375	37
2100	375	20
2150	375	43
2875	375	52
3075	375	105
3100	375	48
3375	375	7
4650	375	13
7050	375	125
9350	375	4
9575	375	33
9625	375	124
9675	375	179
475	400	16
2850	400	65
3600	400	123
3875	400	59
5450	400	47
5800	400	33
6150	400	7
7625	400	2
0	425	174
25	425	79
1425	425	116
2600	425	1
3875	425	76
4675	425	200
6525	425	185
2375	450	144
2800	450	43
6625	450	39
9125	450	33
700	475	58
5450	475	9
5675	475	53
5700	475	14
7300	475	9
8175	475	152
250	500	69
450	500	38
1000	500	43
1625	500	200
5200	500	104
8200	500	18
8675	500	4
8750	500	133
8775	500	35
8800	500	42
8875	500	39
4175	525	154
6850	525	76
1775	550	34
2100	550	9
2400	550	30
2600	550	42
4175	550	21
5250	550	122
7300	550	70
8100	550	129
750	575	30
3100	575	5
3275	575	1
3325	575	133
4425	575	28
4925	575	183
7850	575	57
9750	575	72
950	600	19
3525	600	53
4675	600	117
4950	600	22
6100	600	49
1425	625	50
2100	625	182
2125	625	18
2950	625	189
3725	625	48
6425	625	48
7525	625	2
8150	625	184
8475	625	25
9425	625	3
9750	625	42
225	650	20
1200	650	57
1300	650	2
2325	650	15
2925	650	27
3725	650	22
9425	650	71
225	675	19
3925	675	68
5650	675	27
5675	675	11
5875	675	114
6400	675	95
550	700	13
6350	700	39
6625	700	24
8725	700	94
450	725	30
500	725	71
1550	725	12
4050	725	46
4725	725	27
5450	725	15
5875	725	80
5900	725	102
6675	725	145
6975	725	50
8725	725	137
9200	725	17
9975	725	1
2700	750	5
4175	750	84
5200	750	19
5225	750	13
5425	750	105
8925	750	7
1775	775	13
3150	775	102
3300	775	138
7275	775	100
7750	775	57
7900	775	17
7950	775	24
8800	775	76
9700	775	87
4525	800	51
6125	800	60
875	825	37
1775	825	67
2000	825	154
4125	825	152
4925	825	125
7700	825	70
8175	825	67
8450	825	26
9725	825	187
1325	850	23
2175	850	9
2925	850	39
3150	850	8
4325	850	21
4375	850	155
7500	850	24
9425	850	184
25	875	4
50	875	31
1100	875	16
2950	875	136
7500	875	68
9950	875	57
250	900	40
875	900	1
1075	900	2
2200	900	17
2225	900	1
5675	900	9
6400	900	7
6675	900	84
8175	900	7
9200	900	77
350	925	22
450	925	62
675	925	96
1075	925	7
1100	925	1
1125	925	9
2425	925	167
3800	925	23
5625	925	143
5900	925	9
5925	925	7
6400	925	92
9925	925	113
1075	950	7
1525	950	146
2650	950	10
2725	950	57
3650	950	18
5400	950	153
6150	950	91
7500	950	20
7575	950	35
1075	975	3
1100	975	9
1125	975	4
2925	975	20
3150	975	45
7700	975	93
8750	975	128
9175	975	4
1075	1000	15
3125	1000	104
3350	1000	80
5075	1000	56
6600	1000	89
7200	1000	172
7950	1000	168
8725	1000	35
9650	1000	28
1075	1025	15
1100	1025	1
1850	1025	20
1900	1025	67
2625	1025	84
3825	1025	149
7000	1025	7
7175	1025	47
8225	1025	70
8550	1025	6
1075	1050	6
1125	1050	23
3400	1050	109
4050	1050	10
4800	1050	6
5000	1050	91
7875	1050	63
9650	1050	136
1100	1075	14
3600	1075	98
4775	1075	13
9400	1075	38
9425	1075	112
9675	1075	15
50	1100	24
100	1100	113
1075	1100	3
1125	1100	10
4325	1100	23
4725	1100	6
4775	1100	7
5700	1100	38
9125	1100	3
9975	1100	36
350	1125	85
375	1125	169
575	1125	158
600	1125	59
875	1125	10
1075	1125	7
1125	1125	2
2375	1125	58
4525	1125	105
5900	1125	79
9400	1125	59
9950	1125	131
1075	1150	9
